direction,forecast_th_pct,validation_min_count,signal_count_raw,win_rate_before_cost_raw,win_rate_after_cost_raw,avg_return_before_cost_raw,avg_return_after_cost_raw,median_return_before_cost_raw,median_return_after_cost_raw,total_return_before_cost_raw,total_return_after_cost_raw,signal_count_nonoverlap,win_rate_before_cost_nonoverlap,win_rate_after_cost_nonoverlap,avg_return_before_cost_nonoverlap,avg_return_after_cost_nonoverlap,median_return_before_cost_nonoverlap,median_return_after_cost_nonoverlap,total_return_before_cost_nonoverlap,total_return_after_cost_nonoverlap
SHORT,1,3,172,0.5174418604651163,0.4941860465116279,0.0042770641683847034,0.002526440184354731,0.00230906561659755,-0.0006878679592381975,0.8762634967416909,0.38763546853952136,17,0.4117647058823529,0.35294117647058826,-0.004270318869862659,-0.006183806188459667,-0.004017368254821,-0.006984812933456763,-0.07853009461106986,-0.10817062346910811
SHORT,2,1,848,0.5577830188679245,0.5235849056603774,0.0070720019065448215,0.005234258491565941,0.0075627590628927505,0.004602070564495353,247.47630158546053,50.932721583951775,23,0.4782608695652174,0.43478260869565216,-0.001995518912634809,-0.004346176424897744,-0.0001993706184371,-0.00319423902540783,-0.05201655918989401,-0.101924798708796
SHORT,2,2,528,0.5416666666666666,0.5132575757575758,0.006420348521244455,0.004569577501674868,0.005794084262845301,0.0028149217311218555,21.037189404465618,7.26169716981353,23,0.4782608695652174,0.43478260869565216,-0.0018623518637847572,-0.0035436744272305328,-0.0091491803389571,-0.012034579049312155,-0.056400120126877895,-0.09219852103229098
SHORT,2,3,158,0.5189873417721519,0.4936708860759494,0.00520627300433665,0.0034603673453172065,0.00230906561659755,-0.0006878679592381975,1.0648427770281912,0.5654824862534364,17,0.47058823529411764,0.4117647058823529,-0.00015583688945991736,-0.0022194409977250797,-0.0033405113323958,-0.006314921509909421,-0.010284106224428324,-0.04473730098687134
SHORT,3,1,787,0.567979669631512,0.5362134688691232,0.008101490829435991,0.006296828872202906,0.008623859234456,0.005677314349858298,370.07539720881346,88.11232761426368,23,0.43478260869565216,0.391304347826087,-0.001456581247891591,-0.0037466452964241294,-0.0091476054926653,-0.012033037259319146,-0.040682698688152996,-0.09010892189163422
SHORT,3,2,497,0.5533199195171026,0.5251509054325956,0.007400117147100115,0.005565694203193147,0.0067803767590665,0.0038107095612303077,28.793849929540855,10.931614862036925,23,0.43478260869565216,0.43478260869565216,-0.0007533502424001789,-0.0023323679393692197,-0.0083041466781164,-0.01120659074915431,-0.032960889767655654,-0.06766126829129271
SHORT,3,3,154,0.525974025974026,0.5,0.006101088983577606,0.004338543978967561,0.00296606098567945,-2.9465246348947538e-05,1.3302506237988294,0.7744551968264852,17,0.47058823529411764,0.4117647058823529,0.00012760248892475316,-0.0019236208285899632,-0.0033405113323958,-0.006314921509909421,-0.005609637342294027,-0.04001626081957799
SHORT,4,1,685,0.5912408759124088,0.5591240875912409,0.009726412173000763,0.007925471183241935,0.0114558565287266,0.008558395029925059,523.0901325023643,150.95905355494182,22,0.45454545454545453,0.4090909090909091,0.00027665297480303566,-0.001966961171412621,-0.00516927879139635,-0.008107245023253495,-0.002127538135055951,-0.05032117488553001
SHORT,4,2,436,0.5825688073394495,0.5527522935779816,0.009229281222443103,0.007389173296070177,0.0084740430294698,0.005525382879157825,42.659131413694375,18.533865509072967,21,0.5238095238095238,0.5238095238095238,-0.00042770251653931037,-0.002393773106612839,0.0041097240473062,0.0011188168313620572,-0.01969774730446705,-0.0593150417787528
SHORT,4,3,142,0.5422535211267606,0.5140845070422535,0.007987124166392627,0.006243443699941132,0.00679698960407585,0.003827684305139356,1.8483613338765834,1.221630672071968,17,0.5294117647058824,0.47058823529411764,0.0050001439360667236,0.00326249745514652,0.002708742019278,-0.00028754210247794454,0.07750407071583232,0.045757378604270205
SHORT,5,1,567,0.6014109347442681,0.5696649029982364,0.011304206559867478,0.009555105103974587,0.0126296699084793,0.009757397372073706,429.3170156257569,157.90342963998825,18,0.5,0.5,0.0012706462789273058,-0.0009660847894395598,-0.0017346681544807493,-0.004615548057473773,0.016187446279531725,-0.023970003651001104
SHORT,5,2,360,0.5972222222222222,0.5638888888888889,0.010717139539656037,0.008890631062701168,0.010966388244326601,0.008059264384560505,37.55180667634899,18.938486287265608,17,0.5294117647058824,0.5294117647058824,0.0008017667289893999,-0.0015505091615347893,0.005974464994133,0.002996864411269673,0.008217420939363507,-0.03137733138337395
SHORT,5,3,116,0.5775862068965517,0.5517241379310345,0.011459361294215976,0.009783796257156436,0.012079471650622,0.009195170539252673,2.5057322106787847,1.8840719026069852,13,0.46153846153846156,0.38461538461538464,0.0005075093789066695,-0.0016437233401238765,-0.0098547249647389,-0.012724830504276974,0.001234904085285038,-0.026563195792957295
SHORT,6,1,423,0.6004728132387707,0.5839243498817966,0.013514077194119208,0.011919903457333701,0.0146609645474987,0.011839030915649085,226.9199261538033,114.49920311006159,15,0.5333333333333333,0.5333333333333333,0.005047253355182886,0.0028485842557544197,0.005193891690758,0.0022098642419010606,0.0722066531988883,0.03747513929011159
SHORT,6,2,258,0.5891472868217055,0.5775193798449613,0.012745319492961763,0.011127245811458877,0.0127856005695142,0.009916911138015072,21.540716162659212,13.808677805605772,13,0.46153846153846156,0.46153846153846156,0.004562010779725654,0.0025456625070137727,-0.0148064243810175,-0.017542192478980922,0.05448894960065842,0.027090596135660006
SHORT,6,3,83,0.5662650602409639,0.5542168674698795,0.013041085295709508,0.011529642583626785,0.0142321099180104,0.011398834133961477,1.7800412801390846,1.4499055964691503,12,0.4166666666666667,0.4166666666666667,0.005179763850354399,0.003356855933893066,-0.0060127993101566,-0.008940009071598531,0.05681774802201689,0.033809689801371556
SHORT,8,1,132,0.7348484848484849,0.7272727272727273,0.029291949438352397,0.028362682732756397,0.04243844726597965,0.041191026777779305,40.951492610305635,35.98092961912822,11,0.6363636363636364,0.6363636363636364,0.023124205794162037,0.021622105754724615,0.032084797965719,0.03005355496039419,0.2794698521761587,0.2583944791261763
SHORT,8,2,81,0.7530864197530864,0.7407407407407407,0.02841625367990697,0.027377276209534698,0.0426963705308774,0.04147154994963631,8.258546637408458,7.501047033232155,9,0.7777777777777778,0.7777777777777778,0.02894235102805938,0.02797421813348111,0.032084797965719,0.03005355496039419,0.2864232633447681,0.27483903130319254
SHORT,8,3,36,0.6944444444444444,0.6944444444444444,0.026715475277038294,0.025629823119041998,0.043420817520447255,0.04226045219903962,1.5310432164483063,1.4328909555895737,6,0.5,0.5,0.012419120160501068,0.010697632000296739,0.0008147266073035009,-0.0019309287311943257,0.07342818896444037,0.06225955582293663
SHORT,10,1,4,1.0,1.0,0.06249631088206877,0.06369592290641063,0.0648389977732313,0.06625410994317149,0.273982874434753,0.2796271642919368,2,1.0,1.0,0.0648389977732313,0.06625410994317149,0.0648389977732313,0.06625410994317149,0.13378143418917787,0.1367669712848132
SHORT,10,2,3,1.0,1.0,0.05837115001894703,0.059030121556183035,0.0548062020750286,0.05481489292924957,0.1852417024734314,0.18737597448525634,2,1.0,1.0,0.0656567964654964,0.0672084610497442,0.0656567964654964,0.0672084610497442,0.135506672454478,0.1387802988054061
SHORT,10,3,2,1.0,1.0,0.04930302960043845,0.04874416774915513,0.04930302960043845,0.04874416774915513,0.10100656302137345,0.09982747568365591,1,1.0,1.0,0.0548062020750286,0.05481489292924957,0.0548062020750286,0.05481489292924957,0.05480620207502862,0.05481489292924957
